web-scraper-order,web-scraper-start-url,company,company-href,model,model-href
"1555570170-904","https://www.gsmarena.com/","Motorola","https://www.gsmarena.com/motorola-phones-4.php","Moto X5","https://www.gsmarena.com/motorola_moto_x5-8999.php"
"1555570114-180","https://www.gsmarena.com/","Tecno","https://www.gsmarena.com/tecno-phones-120.php","Camon CX Air","https://www.gsmarena.com/tecno_camon_cx_air-9445.php"
"1555570160-778","https://www.gsmarena.com/","Honor","https://www.gsmarena.com/honor-phones-121.php","View 20","https://www.gsmarena.com/honor_view_20-9468.php"
"1555570170-930","https://www.gsmarena.com/","Motorola","https://www.gsmarena.com/motorola-phones-4.php","Moto X Style","https://www.gsmarena.com/motorola_moto_x_style-7229.php"
"1555570101-3","https://www.gsmarena.com/","Plum","https://www.gsmarena.com/plum-phones-72.php","Optimax 13","https://www.gsmarena.com/plum_optimax_13-9494.php"
"1555570137-515","https://www.gsmarena.com/","ZTE","https://www.gsmarena.com/zte-phones-62.php","nubia N1 lite","https://www.gsmarena.com/zte_nubia_n1_lite-8607.php"
"1555570121-283","https://www.gsmarena.com/","BLU","https://www.gsmarena.com/blu-phones-67.php","C5 LTE","https://www.gsmarena.com/blu_c5_lte-8926.php"
"1555570205-1218","https://www.gsmarena.com/","Samsung","https://www.gsmarena.com/samsung-phones-9.php","Galaxy J6+","https://www.gsmarena.com/samsung_galaxy_j6+-9334.php"
"1555570140-541","https://www.gsmarena.com/","Alcatel","https://www.gsmarena.com/alcatel-phones-5.php","Flash (2017)","https://www.gsmarena.com/alcatel_flash_(2017)-8639.php"
"1555570167-856","https://www.gsmarena.com/","Lenovo","https://www.gsmarena.com/lenovo-phones-73.php","K5 Note (2018)","https://www.gsmarena.com/lenovo_k5_note_(2018)-9226.php"
"1555570101-23","https://www.gsmarena.com/","Plum","https://www.gsmarena.com/plum-phones-72.php","Axe Plus 2","https://www.gsmarena.com/plum_axe_plus_2-8112.php"
"1555570190-1022","https://www.gsmarena.com/","LG","https://www.gsmarena.com/lg-phones-20.php","U","https://www.gsmarena.com/lg_u-8403.php"
"1555570205-1258","https://www.gsmarena.com/","Samsung","https://www.gsmarena.com/samsung-phones-9.php","Galaxy C5 Pro","https://www.gsmarena.com/samsung_galaxy_c5_pro-8437.php"
"1555570197-1096","https://www.gsmarena.com/","Nokia","https://www.gsmarena.com/nokia-phones-1.php","3310 (2017)","https://www.gsmarena.com/nokia_3310_(2017)-8597.php"
"1555570197-1085","https://www.gsmarena.com/","Nokia","https://www.gsmarena.com/nokia-phones-1.php","1","https://www.gsmarena.com/nokia_1-9052.php"
"1555570121-275","https://www.gsmarena.com/","BLU","https://www.gsmarena.com/blu-phones-67.php","Studio View XL","https://www.gsmarena.com/blu_studio_view_xl-9007.php"
"1555570116-208","https://www.gsmarena.com/","Infinix","https://www.gsmarena.com/infinix-phones-119.php","Hot 4","https://www.gsmarena.com/infinix_hot_4-9472.php"
"1555570170-905","https://www.gsmarena.com/","Motorola","https://www.gsmarena.com/motorola-phones-4.php","Moto G5S Plus","https://www.gsmarena.com/motorola_moto_g5s_plus-8699.php"
"1555570118-215","https://www.gsmarena.com/","Acer","https://www.gsmarena.com/acer-phones-59.php","Liquid Jade 2","https://www.gsmarena.com/acer_liquid_jade_2-7956.php"
"1555570123-325","https://www.gsmarena.com/","Micromax","https://www.gsmarena.com/micromax-phones-66.php","Canvas Mega 2 Q426","https://www.gsmarena.com/micromax_canvas_mega_2_q426-8260.php"
"1555570162-801","https://www.gsmarena.com/","Google","https://www.gsmarena.com/google-phones-107.php","Pixel 2","https://www.gsmarena.com/google_pixel_2-8733.php"
"1555570114-167","https://www.gsmarena.com/","Tecno","https://www.gsmarena.com/tecno-phones-120.php","F2","https://www.gsmarena.com/tecno_f2-9460.php"
